2025-01-13 20:37:57,549 - INFO - [Increment Mode] START CRAWLING DATA FROM DANGDANG!
2025-01-13 20:38:05,362 - INFO - [Increment Mode] 第3页第49条数据已存在,跳过!
2025-01-13 20:38:05,363 - INFO - [Increment Mode] 第3页第50条数据已存在,跳过!
2025-01-13 20:38:05,363 - INFO - [Increment Mode] 第3页第51条数据已存在,跳过!
2025-01-13 20:38:05,363 - INFO - [Increment Mode] 第3页第52条数据已存在,跳过!
2025-01-13 20:38:05,364 - INFO - [Increment Mode] 第3页第53条数据已存在,跳过!
2025-01-13 20:38:05,364 - INFO - [Increment Mode] 第3页第54条数据已存在,跳过!
2025-01-13 20:38:05,364 - INFO - [Increment Mode] 第3页第55条数据已存在,跳过!
2025-01-13 20:38:05,364 - INFO - [Increment Mode] 第3页第56条数据已存在,跳过!
2025-01-13 20:38:05,364 - INFO - [Increment Mode] 第3页第57条数据已存在,跳过!
2025-01-13 20:38:05,366 - INFO - [Increment Mode] 第3页第58条数据已存在,跳过!
2025-01-13 20:38:05,366 - INFO - [Increment Mode] 第3页第59条数据已存在,跳过!
2025-01-13 20:38:05,366 - INFO - [Increment Mode] 第3页第60条数据已存在,跳过!
2025-01-13 20:38:05,366 - INFO - [Increment Mode] 第3页采集完成
2025-01-13 20:38:07,949 - INFO - [Increment Mode] 检测到已登录, 开始采集数据
2025-01-13 20:38:08,074 - INFO - [Increment Mode] 第4页第1条数据已存在,跳过!
2025-01-13 20:38:08,075 - INFO - [Increment Mode] 第4页第2条数据已存在,跳过!
2025-01-13 20:38:08,075 - INFO - [Increment Mode] 第4页第3条数据已存在,跳过!
2025-01-13 20:38:08,076 - INFO - [Increment Mode] 第4页第4条数据已存在,跳过!
2025-01-13 20:38:08,077 - INFO - [Increment Mode] 第4页第5条数据已存在,跳过!
2025-01-13 20:38:08,077 - INFO - [Increment Mode] 第4页第6条数据已存在,跳过!
2025-01-13 20:38:08,077 - INFO - [Increment Mode] 第4页第7条数据已存在,跳过!
2025-01-13 20:38:08,078 - INFO - [Increment Mode] 第4页第8条数据已存在,跳过!
2025-01-13 20:38:08,079 - INFO - [Increment Mode] 第4页第9条数据已存在,跳过!
2025-01-13 20:38:08,079 - INFO - [Increment Mode] 第4页第10条数据已存在,跳过!
2025-01-13 20:38:08,080 - INFO - [Increment Mode] 第4页第11条数据已存在,跳过!
2025-01-13 20:38:08,080 - INFO - [Increment Mode] 第4页第12条数据已存在,跳过!
2025-01-13 20:38:08,080 - INFO - [Increment Mode] 第4页第13条数据已存在,跳过!
2025-01-13 20:38:08,081 - INFO - [Increment Mode] 第4页第14条数据已存在,跳过!
2025-01-13 20:38:08,081 - INFO - [Increment Mode] 第4页第15条数据已存在,跳过!
2025-01-13 20:38:08,082 - INFO - [Increment Mode] 第4页第16条数据已存在,跳过!
2025-01-13 20:38:08,082 - INFO - [Increment Mode] 第4页第17条数据已存在,跳过!
2025-01-13 20:38:08,082 - INFO - [Increment Mode] 第4页第18条数据已存在,跳过!
2025-01-13 20:38:08,083 - INFO - [Increment Mode] 第4页第19条数据已存在,跳过!
2025-01-13 20:38:08,083 - INFO - [Increment Mode] 第4页第20条数据已存在,跳过!
2025-01-13 20:38:08,083 - INFO - [Increment Mode] 第4页第21条数据已存在,跳过!
2025-01-13 20:38:08,084 - INFO - [Increment Mode] 第4页第22条数据已存在,跳过!
2025-01-13 20:38:08,084 - INFO - [Increment Mode] 第4页第23条数据已存在,跳过!
2025-01-13 20:38:08,085 - INFO - [Increment Mode] 第4页第24条数据已存在,跳过!
2025-01-13 20:38:08,085 - INFO - [Increment Mode] 第4页第25条数据已存在,跳过!
2025-01-13 20:38:08,085 - INFO - [Increment Mode] 第4页第26条数据已存在,跳过!
2025-01-13 20:38:08,085 - INFO - [Increment Mode] 第4页第27条数据已存在,跳过!
2025-01-13 20:38:08,086 - INFO - [Increment Mode] 第4页第28条数据已存在,跳过!
2025-01-13 20:38:08,086 - INFO - [Increment Mode] 第4页第29条数据已存在,跳过!
2025-01-13 20:38:08,087 - INFO - [Increment Mode] 第4页第30条数据已存在,跳过!
2025-01-13 20:38:08,087 - INFO - [Increment Mode] 第4页第31条数据已存在,跳过!
2025-01-13 20:38:08,087 - INFO - [Increment Mode] 第4页第32条数据已存在,跳过!
2025-01-13 20:38:08,088 - INFO - [Increment Mode] 第4页第33条数据已存在,跳过!
2025-01-13 20:38:08,088 - INFO - [Increment Mode] 第4页第34条数据已存在,跳过!
2025-01-13 20:38:08,089 - INFO - [Increment Mode] 第4页第35条数据已存在,跳过!
2025-01-13 20:38:08,089 - INFO - [Increment Mode] 第4页第36条数据已存在,跳过!
2025-01-13 20:38:08,090 - INFO - [Increment Mode] 第4页第37条数据已存在,跳过!
2025-01-13 20:38:08,090 - INFO - [Increment Mode] 第4页第38条数据已存在,跳过!
2025-01-13 20:38:08,091 - INFO - [Increment Mode] 第4页第39条数据已存在,跳过!
2025-01-13 20:38:08,091 - INFO - [Increment Mode] 第4页第40条数据已存在,跳过!
2025-01-13 20:38:08,091 - INFO - [Increment Mode] 第4页第41条数据已存在,跳过!
2025-01-13 20:38:08,092 - INFO - [Increment Mode] 第4页第42条数据已存在,跳过!
2025-01-13 20:38:08,092 - INFO - [Increment Mode] 第4页第43条数据已存在,跳过!
2025-01-13 20:38:08,093 - INFO - [Increment Mode] 第4页第44条数据已存在,跳过!
2025-01-13 20:38:08,093 - INFO - [Increment Mode] 第4页第45条数据已存在,跳过!
2025-01-13 20:38:08,094 - INFO - [Increment Mode] 第4页第46条数据已存在,跳过!
2025-01-13 20:38:08,094 - INFO - [Increment Mode] 第4页第47条数据已存在,跳过!
2025-01-13 20:38:08,095 - INFO - [Increment Mode] 第4页第48条数据已存在,跳过!
2025-01-13 20:38:08,095 - INFO - [Increment Mode] 第4页第49条数据已存在,跳过!
2025-01-13 20:38:08,095 - INFO - [Increment Mode] 第4页第50条数据已存在,跳过!
2025-01-13 20:38:08,096 - INFO - [Increment Mode] 第4页第51条数据已存在,跳过!
2025-01-13 20:38:08,097 - INFO - [Increment Mode] 第4页第52条数据已存在,跳过!
2025-01-13 20:38:08,097 - INFO - [Increment Mode] 第4页第53条数据已存在,跳过!
2025-01-13 20:38:08,098 - INFO - [Increment Mode] 第4页第54条数据已存在,跳过!
2025-01-13 20:38:08,098 - INFO - [Increment Mode] 第4页第55条数据已存在,跳过!
2025-01-13 20:38:08,099 - INFO - [Increment Mode] 第4页第56条数据已存在,跳过!
2025-01-13 20:38:08,099 - INFO - [Increment Mode] 第4页第57条数据已存在,跳过!
2025-01-13 20:38:08,100 - INFO - [Increment Mode] 第4页第58条数据已存在,跳过!
2025-01-13 20:38:08,100 - INFO - [Increment Mode] 第4页第59条数据已存在,跳过!
2025-01-13 20:38:08,101 - INFO - [Increment Mode] 第4页第60条数据已存在,跳过!
2025-01-13 20:38:08,101 - INFO - [Increment Mode] 第4页采集完成
2025-01-13 20:38:10,471 - INFO - [Increment Mode] 检测到已登录, 开始采集数据
2025-01-13 20:38:10,540 - INFO - [Increment Mode] 第5页第1条数据已存在,跳过!
2025-01-13 20:38:10,540 - INFO - [Increment Mode] 第5页第2条数据已存在,跳过!
2025-01-13 20:38:10,540 - INFO - [Increment Mode] 第5页第3条数据已存在,跳过!
2025-01-13 20:38:10,540 - INFO - [Increment Mode] 第5页第4条数据已存在,跳过!
2025-01-13 20:38:10,540 - INFO - [Increment Mode] 第5页第5条数据已存在,跳过!
2025-01-13 20:38:10,541 - INFO - [Increment Mode] 第5页第6条数据已存在,跳过!
2025-01-13 20:38:10,541 - INFO - [Increment Mode] 第5页第7条数据已存在,跳过!
2025-01-13 20:38:10,541 - INFO - [Increment Mode] 第5页第8条数据已存在,跳过!
2025-01-13 20:38:10,541 - INFO - [Increment Mode] 第5页第9条数据已存在,跳过!
2025-01-13 20:38:10,541 - INFO - [Increment Mode] 第5页第10条数据已存在,跳过!
2025-01-13 20:38:10,542 - INFO - [Increment Mode] 第5页第11条数据已存在,跳过!
2025-01-13 20:38:10,542 - INFO - [Increment Mode] 第5页第12条数据已存在,跳过!
2025-01-13 20:38:10,542 - INFO - [Increment Mode] 第5页第13条数据已存在,跳过!
2025-01-13 20:38:10,542 - INFO - [Increment Mode] 第5页第14条数据已存在,跳过!
2025-01-13 20:38:10,543 - INFO - [Increment Mode] 第5页第15条数据已存在,跳过!
2025-01-13 20:38:10,543 - INFO - [Increment Mode] 第5页第16条数据已存在,跳过!
2025-01-13 20:38:10,543 - INFO - [Increment Mode] 第5页第17条数据已存在,跳过!
2025-01-13 20:38:10,544 - INFO - [Increment Mode] 第5页第18条数据已存在,跳过!
2025-01-13 20:38:10,544 - INFO - [Increment Mode] 第5页第19条数据已存在,跳过!
2025-01-13 20:38:10,544 - INFO - [Increment Mode] 第5页第20条数据已存在,跳过!
2025-01-13 20:38:10,544 - INFO - [Increment Mode] 第5页第21条数据已存在,跳过!
2025-01-13 20:38:10,544 - INFO - [Increment Mode] 第5页第22条数据已存在,跳过!
2025-01-13 20:38:10,544 - INFO - [Increment Mode] 第5页第23条数据已存在,跳过!
2025-01-13 20:38:10,544 - INFO - [Increment Mode] 第5页第24条数据已存在,跳过!
2025-01-13 20:38:10,547 - INFO - [Increment Mode] 第5页第25条数据已存在,跳过!
2025-01-13 20:38:10,548 - INFO - [Increment Mode] 第5页第26条数据已存在,跳过!
2025-01-13 20:38:10,548 - INFO - [Increment Mode] 第5页第27条数据已存在,跳过!
2025-01-13 20:38:10,548 - INFO - [Increment Mode] 第5页第28条数据已存在,跳过!
2025-01-13 20:38:10,549 - INFO - [Increment Mode] 第5页第29条数据已存在,跳过!
2025-01-13 20:38:10,549 - INFO - [Increment Mode] 第5页第30条数据已存在,跳过!
2025-01-13 20:38:10,549 - INFO - [Increment Mode] 第5页第31条数据已存在,跳过!
2025-01-13 20:38:10,549 - INFO - [Increment Mode] 第5页第32条数据已存在,跳过!
2025-01-13 20:38:10,550 - INFO - [Increment Mode] 第5页第33条数据已存在,跳过!
2025-01-13 20:38:10,550 - INFO - [Increment Mode] 第5页第34条数据已存在,跳过!
2025-01-13 20:38:10,550 - INFO - [Increment Mode] 第5页第35条数据已存在,跳过!
2025-01-13 20:38:10,551 - INFO - [Increment Mode] 第5页第36条数据已存在,跳过!
2025-01-13 20:38:10,551 - INFO - [Increment Mode] 第5页第37条数据已存在,跳过!
2025-01-13 20:38:10,551 - INFO - [Increment Mode] 第5页第38条数据已存在,跳过!
2025-01-13 20:38:10,551 - INFO - [Increment Mode] 第5页第39条数据已存在,跳过!
2025-01-13 20:38:10,551 - INFO - [Increment Mode] 第5页第40条数据已存在,跳过!
2025-01-13 20:38:10,552 - INFO - [Increment Mode] 第5页第41条数据已存在,跳过!
2025-01-13 20:38:10,552 - INFO - [Increment Mode] 第5页第42条数据已存在,跳过!
2025-01-13 20:38:10,553 - INFO - [Increment Mode] 第5页第43条数据已存在,跳过!
2025-01-13 20:38:10,553 - INFO - [Increment Mode] 第5页第44条数据已存在,跳过!
2025-01-13 20:38:10,554 - INFO - [Increment Mode] 第5页第45条数据已存在,跳过!
2025-01-13 20:38:10,554 - INFO - [Increment Mode] 第5页第46条数据已存在,跳过!
2025-01-13 20:38:10,554 - INFO - [Increment Mode] 第5页第47条数据已存在,跳过!
2025-01-13 20:38:10,554 - INFO - [Increment Mode] 第5页第48条数据已存在,跳过!
2025-01-13 20:38:10,555 - INFO - [Increment Mode] 第5页第49条数据已存在,跳过!
2025-01-13 20:38:10,555 - INFO - [Increment Mode] 第5页第50条数据已存在,跳过!
2025-01-13 20:38:10,555 - INFO - [Increment Mode] 第5页第51条数据已存在,跳过!
